Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",mostUsedSocmed
283,1,11,18,1,6,2,42,6,1,5,5,3,2,4,4,1,4,3,6,11
269,1,11,6,1,4,2,46,6,3,5,4,0,0,3,1,0,3,0,5,11
412,1,11,12,1,4,2,42,8,3,5,5,2,2,4,4,0,2,2,5,11
564,1,5,12,3,4,2,42,6,1,1,2,3,4,2,1,3,4,2,5,5
280,1,11,14,3,4,2,42,6,1,4,5,1,1,2,2,1,1,2,6,11
406,1,11,22,3,1,36,46,6,1,5,5,5,5,5,5,5,5,5,6,11
227,1,6,35,2,2,81,68,7,2,3,3,2,2,2,2,2,2,2,4,6
543,1,12,20,1,1,40,46,3,3,2,2,1,1,3,2,2,1,1,5,12
319,1,5,19,3,4,2,46,6,1,3,4,1,0,4,4,1,1,0,5,5
422,1,12,27,1,1,29,46,6,1,5,5,5,5,5,5,5,5,5,6,12
373,1,12,23,3,1,13,46,6,1,4,4,2,1,2,2,1,1,3,5,12
91,1,11,5,4,2,2,64,7,2,1,1,2,2,2,2,2,2,1,4,11
179,1,13,28,2,2,13,21,7,1,3,3,3,3,3,3,3,3,3,2,13
574,1,12,29,1,1,40,46,6,1,3,3,4,3,4,3,3,3,3,5,12
13,1,11,11,1,4,2,51,6,3,4,4,3,2,5,5,3,4,4,1,11
459,1,11,18,3,4,2,42,6,3,4,5,3,3,5,5,2,2,2,5,11
443,1,11,19,3,4,2,42,6,1,3,4,4,1,1,1,1,2,5,6,11
570,1,5,32,3,1,41,46,6,3,1,2,2,1,1,0,1,0,1,5,5
565,1,12,19,3,1,72,42,6,3,3,3,3,2,3,2,3,2,3,5,12
131,1,12,9,2,5,2,51,7,1,4,4,2,2,5,4,2,3,2,2,12
572,1,12,34,1,1,65,46,6,1,4,4,5,4,5,4,5,4,4,5,12
236,1,11,57,4,8,99,38,7,2,3,3,3,2,2,3,2,2,2,4,11
430,1,11,18,3,3,14,46,6,3,5,5,2,2,5,5,2,2,5,6,11
490,1,11,12,1,4,2,42,8,3,5,4,4,4,4,3,3,3,5,6,11
492,1,11,12,3,4,2,42,8,1,2,2,2,3,3,3,3,2,5,5,11
423,1,11,23,1,1,19,46,6,3,4,3,4,2,4,4,3,4,1,6,11
493,1,12,12,3,4,2,46,6,3,5,5,5,5,5,5,5,5,5,6,12
500,1,5,14,3,1,22,42,6,1,4,4,3,2,3,3,1,1,1,6,5
