Timestamp,socmedInterest,mostUsedSocmed,Age,Gender,occupation,monthlyIncome,residence,device,internet,activeSocmed,socmedRate,picPost,vidPost,picLike,vidLike,comment,story,shareVid,"watchVidAvg
",interactionTime
91,1,11,5,4,2,2,64,7,2,1,1,2,2,2,2,2,2,1,4,1
92,1,11,34,2,2,96,15,7,1,5,5,4,4,4,4,3,4,3,4,2
93,1,16,7,2,5,2,25,7,2,4,3,1,1,3,3,1,1,2,4,3
94,1,13,12,4,5,2,10,7,1,4,4,2,2,3,4,1,2,2,4,2
95,1,5,12,2,5,2,48,7,1,4,5,3,2,3,3,3,3,3,2,4
96,1,11,18,2,5,2,61,7,2,3,4,2,2,4,4,2,2,3,2,4
97,1,5,21,2,8,2,7,7,2,5,4,2,2,2,2,2,2,2,2,2
98,0,13,39,2,2,95,28,7,1,3,4,2,2,3,3,1,2,2,4,4
99,1,12,18,2,5,2,9,7,1,5,4,2,1,2,2,1,2,1,4,4
100,1,13,14,4,5,2,31,7,2,4,4,3,2,4,5,2,3,4,4,4
101,1,11,9,2,5,2,51,7,2,4,4,3,2,4,4,1,4,2,2,4
102,1,11,14,2,5,2,25,7,1,4,3,2,2,3,3,2,3,3,4,4
103,1,13,14,2,5,2,64,7,1,3,4,2,3,4,4,2,1,2,2,4
104,1,11,9,2,5,2,14,7,2,4,4,2,1,4,4,2,1,5,2,4
105,1,11,9,2,5,2,48,7,1,5,4,3,3,4,5,2,3,3,2,2
106,1,13,11,4,5,2,2,7,1,3,3,2,2,2,2,2,2,2,2,3
107,1,12,18,2,5,2,67,7,2,5,5,3,4,5,5,3,3,2,4,4
108,1,8,29,4,2,77,41,7,2,4,4,2,2,3,3,2,2,2,4,4
109,1,11,28,2,8,2,15,7,1,4,4,4,3,3,3,3,3,3,2,1
110,1,13,38,2,2,61,68,7,2,3,3,1,1,4,4,1,1,2,4,4
111,1,11,10,4,5,2,48,7,1,5,4,3,2,4,4,3,3,3,4,4
112,1,11,11,2,5,80,55,7,2,3,2,3,3,3,5,2,2,5,4,1
113,1,11,4,2,5,2,28,7,1,5,5,2,2,2,5,1,1,1,4,3
114,1,5,18,2,5,2,69,7,1,5,4,3,2,3,3,2,1,4,4,1
115,1,11,5,2,5,2,70,7,2,4,3,2,2,3,3,1,1,1,2,1
116,1,13,40,2,8,2,24,7,2,5,4,3,3,4,5,2,2,3,4,4
117,1,12,14,2,5,2,58,7,2,4,4,1,1,2,4,1,2,1,2,4
118,0,13,24,4,2,42,25,7,2,1,1,1,1,1,1,1,1,1,4,1
119,1,11,9,2,5,2,10,7,1,5,4,3,2,5,5,3,3,3,4,2
120,1,5,18,2,5,2,9,7,2,5,5,2,2,5,4,2,4,3,2,4
121,1,11,12,2,5,2,25,7,1,5,4,2,2,3,4,2,2,2,2,4
122,1,13,42,2,8,2,64,7,1,5,4,2,2,3,3,3,2,2,4,3
123,1,13,18,2,2,21,69,7,1,4,3,2,2,4,4,2,3,2,2,4
124,1,13,5,2,5,2,41,7,1,4,4,3,2,2,2,2,2,2,2,1
125,1,11,10,2,5,2,2,7,2,2,3,1,1,3,3,2,1,3,2,4
126,1,11,10,4,5,2,10,7,1,4,3,2,3,2,3,1,2,3,4,4
127,1,5,33,2,5,8,29,7,2,5,4,2,1,2,2,1,1,1,4,2
128,1,13,26,2,2,61,28,7,1,5,5,3,3,5,5,3,5,5,2,4
129,1,13,27,2,8,2,5,7,2,4,5,2,1,4,3,3,3,2,4,2
130,1,5,10,2,5,2,10,7,1,5,5,5,3,5,5,5,1,5,4,2
131,1,12,9,2,5,2,51,7,1,4,4,2,2,5,4,2,3,2,2,4
132,1,5,14,2,5,2,2,7,1,5,5,3,3,5,5,2,5,3,2,2
133,1,13,13,4,5,1,41,7,2,3,3,3,3,2,2,2,1,3,4,2
134,1,13,42,2,2,6,38,7,1,5,5,4,4,4,4,3,3,3,2,4
135,1,11,25,2,2,61,11,7,2,1,4,1,1,4,5,3,1,2,4,4
136,1,13,9,2,5,2,2,7,2,4,4,2,2,2,2,1,2,2,2,4
137,1,13,6,2,5,2,28,7,2,5,5,2,2,2,3,2,3,4,2,2
138,1,13,6,4,5,2,12,7,2,4,4,2,2,2,4,1,2,5,4,4
139,1,11,11,2,5,2,54,7,1,5,4,2,1,4,4,2,3,2,2,3
140,1,11,9,2,5,2,10,7,1,5,4,3,3,5,5,2,4,3,4,2
141,1,13,44,2,2,32,38,7,2,4,3,4,2,5,4,3,2,3,2,1
142,1,11,14,2,5,80,2,7,1,3,4,2,1,3,3,1,2,2,4,4
143,1,5,9,4,5,2,54,7,2,4,4,2,2,4,4,2,4,4,2,4
144,1,13,57,4,8,69,3,7,1,5,5,3,2,5,5,3,2,3,4,4
145,1,12,9,2,5,2,2,7,2,3,3,2,2,4,3,2,1,5,2,1
146,1,1,29,4,2,76,41,7,1,3,3,2,2,2,2,2,2,2,2,2
147,1,13,64,4,2,69,38,7,2,4,4,2,1,3,3,2,1,1,4,3
148,1,13,62,4,8,2,30,7,1,5,4,3,2,3,2,3,3,3,2,3
149,1,13,56,4,2,78,28,7,2,4,4,2,2,3,3,2,2,2,4,3
150,1,11,61,4,8,83,28,7,1,4,4,3,3,3,4,2,4,4,2,4
151,1,5,9,4,5,2,51,7,1,5,3,2,3,4,5,3,3,4,4,4
152,1,11,9,2,5,2,51,7,1,5,4,3,3,5,5,5,2,3,4,4
153,1,11,12,2,5,2,41,7,1,3,3,2,2,3,3,2,2,3,2,4
154,1,11,2,2,5,2,29,7,1,4,4,2,3,4,3,2,2,3,4,4
155,1,1,40,2,2,82,64,7,1,3,4,1,1,3,2,2,1,1,2,4
156,1,12,14,2,5,2,25,7,2,4,5,1,1,4,4,1,1,2,4,4
157,1,11,18,2,5,2,61,7,2,5,5,2,2,4,4,2,4,4,4,1
158,1,13,26,2,2,46,41,7,2,4,4,2,2,3,3,2,3,4,2,4
159,1,11,11,2,5,2,10,7,2,5,4,2,1,4,3,2,3,2,2,4
160,1,2,35,2,2,81,39,7,2,5,5,3,3,4,4,4,3,3,4,4
161,1,12,14,2,5,2,51,7,1,5,5,4,3,5,5,3,4,2,2,4
162,1,11,19,2,2,16,32,7,2,3,4,2,1,3,3,1,2,3,4,4
163,1,12,18,4,2,61,41,7,2,4,4,1,1,4,4,1,3,4,2,2
164,1,5,14,2,5,2,41,7,2,5,4,2,2,4,4,2,4,4,4,2
165,1,5,37,2,2,72,35,7,1,4,4,2,2,4,4,2,1,2,2,4
194,1,13,14,4,5,2,14,7,1,5,4,2,1,5,5,2,3,4,4,4
208,1,7,60,4,8,92,40,7,1,3,4,4,2,5,3,3,5,3,2,2
209,1,10,14,2,5,2,1,7,1,3,2,1,1,2,2,4,1,2,4,1
210,1,11,22,4,2,32,41,7,1,5,4,2,3,2,4,2,2,2,4,3
211,1,11,11,2,5,2,10,7,1,4,4,1,1,4,4,2,1,4,4,4
212,1,11,18,2,5,2,28,7,2,5,5,3,3,4,5,3,3,4,4,4
213,1,11,14,2,5,80,23,7,1,5,5,3,3,5,5,2,4,5,2,2
214,1,11,30,2,2,101,28,7,1,3,4,1,1,2,2,1,1,1,4,3
215,1,11,16,2,5,2,28,7,2,5,5,2,2,4,4,2,3,4,2,4
216,1,13,52,4,5,2,68,7,1,4,4,3,3,2,2,2,1,2,2,4
217,1,5,14,2,5,2,64,7,1,3,4,2,1,4,4,1,2,2,2,3
218,1,13,19,4,8,2,38,7,1,5,5,2,2,3,3,2,2,2,4,4
195,1,11,18,2,2,25,57,7,1,5,5,3,2,4,4,2,3,4,2,4
196,1,12,20,2,2,28,20,7,1,5,4,2,2,3,3,2,1,2,2,4
197,1,11,18,2,5,2,8,7,1,5,5,2,2,4,4,2,2,2,4,4
198,1,11,43,2,5,2,19,7,2,4,4,3,3,4,4,3,3,3,4,2
199,1,13,24,4,2,88,31,7,1,5,4,3,3,3,3,3,3,3,4,4
200,1,13,24,2,2,21,45,7,1,5,4,4,4,4,4,4,4,4,2,4
201,1,11,11,2,5,2,61,7,2,5,5,4,3,5,5,2,5,3,2,4
202,1,11,33,2,2,95,21,7,2,4,4,2,2,2,2,2,2,2,2,4
203,1,5,19,4,5,2,9,7,1,5,4,2,2,3,3,2,2,3,2,4
204,1,11,12,2,5,31,69,7,1,3,3,2,2,2,2,2,2,4,2,1
205,1,13,38,2,2,79,30,7,1,5,3,3,3,4,4,4,2,2,4,4
206,1,13,23,2,5,2,55,7,1,3,4,3,2,3,3,2,4,1,2,4
207,1,5,11,2,5,2,28,7,2,3,3,2,2,2,2,2,1,4,2,4
227,1,6,35,2,2,81,68,7,2,3,3,2,2,2,2,2,2,2,4,2
228,1,5,14,2,5,2,61,7,2,5,5,3,2,4,3,2,4,2,4,2
229,1,5,14,2,5,2,62,7,2,5,5,2,2,4,4,2,4,2,4,2
230,1,4,22,4,2,43,69,4,2,3,3,1,3,1,2,2,1,2,2,1
231,1,13,22,4,2,21,69,7,1,4,3,2,2,4,4,2,2,2,4,4
232,1,5,14,2,5,2,52,7,2,5,5,2,2,5,5,4,2,2,2,2
233,1,13,56,4,2,62,38,7,2,4,2,3,2,3,3,3,2,2,2,4
234,1,11,20,2,2,26,56,7,1,5,4,3,2,4,4,2,3,2,4,4
219,1,13,9,2,5,2,10,7,1,4,4,2,2,3,3,2,1,2,2,3
220,1,13,48,4,2,102,34,7,1,3,3,2,3,4,3,4,3,3,4,2
221,1,13,23,2,2,46,45,7,2,4,3,2,1,2,2,2,3,3,2,4
222,1,11,12,2,5,2,63,7,2,5,5,2,2,4,5,2,5,5,2,4
223,1,11,14,2,5,2,54,7,2,5,4,4,5,5,2,2,5,5,2,4
224,1,13,21,2,2,87,26,7,2,5,4,3,3,3,3,2,3,3,2,4
225,1,3,30,2,2,61,38,7,2,4,3,2,2,4,2,3,2,2,4,3
226,1,12,18,2,5,2,51,7,2,5,5,2,2,5,5,3,5,5,4,4
239,1,5,19,2,2,6,66,7,1,3,3,2,4,2,2,3,3,3,4,2
235,1,11,18,2,2,21,61,7,1,5,4,4,4,4,4,1,5,5,4,4
236,1,11,57,4,8,99,38,7,2,3,3,3,2,2,3,2,2,2,4,4
237,1,15,2,2,5,2,28,7,2,3,2,1,1,1,3,1,1,1,4,3
238,1,11,22,2,5,71,69,7,1,5,5,2,2,3,3,3,2,2,4,2
240,1,11,14,2,5,2,48,7,2,5,5,2,2,5,5,3,1,3,2,4
241,1,13,53,4,2,77,38,7,2,3,4,3,2,3,2,2,2,2,4,3
243,1,5,14,2,5,6,25,7,2,3,1,3,1,3,1,3,1,3,4,2
242,1,12,19,2,5,2,12,7,2,3,4,2,2,3,3,2,4,4,2,4
244,1,11,2,4,5,4,31,7,1,5,5,3,4,5,5,3,2,4,2,4
245,1,5,12,2,5,2,61,7,1,5,4,2,2,2,2,2,2,4,4,4
246,1,5,18,3,4,2,46,6,3,3,4,3,2,4,4,2,4,2,6,2
247,1,12,14,1,4,2,42,6,1,3,4,0,0,3,2,0,0,0,5,4
249,1,5,14,3,4,2,42,6,1,4,3,2,2,4,4,3,5,5,6,4
248,1,5,14,3,4,2,46,6,3,3,4,0,0,4,4,1,2,5,5,2
250,1,12,14,3,4,2,46,6,3,4,4,2,2,3,3,2,2,2,5,1
251,1,11,12,1,4,2,42,6,1,5,5,3,3,4,5,3,4,5,5,4
252,1,11,12,1,4,2,42,6,1,4,4,4,3,5,5,2,4,5,6,4
253,1,5,12,1,4,2,46,6,3,4,4,0,0,5,5,0,5,5,6,4
254,1,11,12,3,4,60,46,6,3,3,4,1,2,3,3,1,1,3,5,4
255,1,5,19,1,4,2,46,6,1,3,3,1,0,2,2,0,2,2,5,1
256,1,11,12,1,4,2,46,6,1,5,4,4,4,5,5,3,5,4,5,2
257,1,12,12,1,4,2,42,6,1,3,3,0,0,2,2,0,0,2,5,4
258,1,12,14,3,4,2,46,6,3,3,3,0,1,5,5,4,1,3,6,1
259,1,5,14,3,4,2,42,8,1,5,5,4,4,5,5,3,5,5,6,2
260,1,5,14,1,4,2,42,3,3,5,5,5,5,5,5,5,5,5,6,1
261,1,11,9,3,4,2,42,6,1,4,3,1,1,5,5,1,3,5,5,4
262,1,5,14,3,4,2,46,6,3,5,4,1,1,2,1,0,3,0,5,4
263,1,5,14,1,6,2,42,6,3,5,5,1,1,5,5,5,3,2,5,4
264,1,11,21,1,1,21,46,6,3,3,3,1,1,4,4,1,1,4,6,4
265,1,11,14,1,4,2,42,6,1,3,2,3,2,1,1,0,3,1,6,3
266,1,5,4,3,4,2,42,3,3,3,4,2,2,5,5,3,4,5,5,4
267,1,12,14,3,4,2,42,6,1,5,2,1,1,1,1,1,1,1,6,2
268,1,11,6,1,4,2,46,6,3,4,2,0,0,3,3,0,1,2,6,4
269,1,11,6,1,4,2,46,6,3,5,4,0,0,3,1,0,3,0,5,4
270,1,5,14,3,4,2,42,6,3,3,3,1,1,3,3,1,4,2,6,4
271,1,5,14,3,4,2,46,6,1,4,5,3,2,3,3,1,3,4,6,4
272,1,12,14,3,4,2,46,6,3,5,3,3,3,3,3,2,4,2,5,4
273,1,5,14,1,4,2,42,3,3,3,3,0,0,3,3,1,3,2,5,4
274,1,5,14,3,4,2,42,6,3,2,2,0,0,2,2,2,2,2,5,4
275,1,5,14,3,4,2,42,6,3,3,3,0,0,1,1,0,0,1,5,4
276,1,5,35,1,3,61,42,6,3,3,4,0,0,2,2,0,0,0,5,2
277,1,12,18,3,4,2,42,6,3,5,4,1,1,2,2,1,1,5,5,4
278,1,5,14,3,4,2,46,6,3,2,2,1,0,1,2,3,2,1,6,2
279,1,12,14,3,4,2,46,6,3,4,3,2,1,3,4,4,2,4,5,4
280,1,11,14,3,4,2,42,6,1,4,5,1,1,2,2,1,1,2,6,2
281,1,5,14,3,6,0,46,6,3,5,3,1,0,0,2,0,3,5,5,4
282,1,11,12,1,4,2,46,6,3,4,2,1,0,3,4,1,3,0,5,2
283,1,11,18,1,6,2,42,6,1,5,5,3,2,4,4,1,4,3,6,2
308,1,11,14,1,4,2,42,6,1,4,4,1,0,4,4,2,3,4,5,1
309,1,5,21,1,1,21,46,6,1,4,4,1,0,1,1,0,2,1,5,2
310,1,5,22,1,1,32,46,6,1,5,4,4,1,5,5,1,4,3,6,4
311,1,5,24,1,1,21,46,6,1,2,2,1,0,2,2,1,0,2,5,2
284,1,5,40,3,1,21,46,6,1,3,4,3,3,4,4,3,2,2,5,2
285,1,12,25,3,1,27,42,6,1,5,0,1,2,0,0,0,2,1,5,1
286,1,11,33,1,1,32,42,6,1,4,4,1,1,4,4,3,0,2,6,4
287,1,5,33,1,1,13,46,6,1,5,3,2,2,2,4,2,2,2,6,2
288,1,5,35,1,1,32,46,6,1,3,4,0,0,5,5,1,0,0,5,2
289,1,11,38,1,1,21,46,6,1,2,2,2,2,2,2,1,2,1,5,4
290,1,5,41,1,3,88,46,6,1,3,3,0,0,1,1,1,0,0,5,4
291,1,12,48,3,3,57,46,6,1,3,4,2,2,3,3,2,1,2,6,3
292,1,5,37,1,3,93,46,6,1,3,4,3,1,3,2,2,1,1,5,2
293,1,5,2,3,4,2,46,6,3,4,4,4,4,4,4,4,4,4,6,4
294,1,11,43,1,3,72,46,6,1,4,4,0,0,1,1,1,0,0,5,2
295,1,5,27,3,3,13,46,6,1,3,5,3,3,5,4,4,4,3,6,1
296,1,11,40,3,3,13,46,6,1,5,5,1,1,2,2,1,1,1,5,3
297,1,11,34,3,1,61,46,6,1,3,4,3,3,3,4,3,2,4,6,4
298,1,5,9,3,4,2,42,6,3,5,4,1,1,3,1,3,4,0,5,2
299,1,5,14,1,4,2,46,6,3,5,4,1,2,4,5,2,4,5,5,4
300,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,1,11,29,1,1,90,46,6,1,3,4,1,1,3,3,2,1,1,6,4
302,1,5,31,1,1,27,46,6,1,4,4,2,0,1,1,0,1,1,5,2
303,1,11,28,1,1,27,46,6,1,3,4,1,1,2,2,2,1,1,5,4
304,1,11,14,3,4,2,42,6,3,5,5,3,3,5,5,2,2,5,6,1
305,1,11,14,3,4,2,46,8,1,5,5,1,1,4,4,1,2,5,5,1
306,1,11,36,3,6,13,46,6,1,5,4,2,3,3,3,3,3,3,6,4
307,1,11,18,1,1,39,46,6,1,4,5,4,4,4,4,1,4,2,6,1
312,1,11,14,3,4,2,42,6,1,5,5,4,4,4,5,4,5,4,6,2
313,1,11,47,1,1,46,46,6,1,5,3,4,2,3,3,3,3,5,6,2
314,1,11,46,3,3,13,46,6,1,2,3,0,0,0,3,0,0,3,6,4
315,1,11,14,3,4,2,42,6,1,5,5,5,3,4,5,4,3,5,6,2
316,1,11,14,3,4,2,46,6,3,2,2,0,0,1,1,0,1,1,5,4
317,1,12,14,3,4,2,46,6,3,5,5,1,1,5,5,1,1,1,5,4
318,1,11,19,3,4,2,46,6,3,3,3,0,1,0,0,0,1,0,6,2
319,1,5,19,3,4,2,46,6,1,3,4,1,0,4,4,1,1,0,5,4
